  EXTENSION      |     FILE FORMAT
     eps         |  Encapsulated Postscript
     jpg         |  Joint Photographic Experts Group
     jpeg        |  Joint Photographic Experts Group
     pdf         |  Portable Document Format
     pgf         |  PGF code for LaTeX
     png         |  Portable Network Graphics
     ps          |  Postscript
     raw         |  Raw RGBA bitmap
     rgba        |  Raw RGBA bitmap
     svg         |  Scalable Vector Graphics
     svgz        |  Scalable Vector Graphics
     tif         |  Tagged Image File Format
     tiff        |  Tagged Image File Format
